Frequency (Hz),S11_mag,S12_mag,S21_mag,S22_mag
20000000.0,7.177914973876675,-0.2458450860802151,31.439516525183482,25.271692878599307
50000000.0,11.153718801100535,11.27178385939885,32.16373930503205,10.44372989030803
70000000.0,9.438889894324928,12.892836133841758,41.71280530065913,12.922244357921869
100000000.0,8.259210734995195,17.33327719963159,16.972134552322235,-0.41344223102267985
130000000.0,13.158759230938728,20.890760740578536,20.245454730711717,10.791462663622708
150000000.0,0.7624342417354059,19.517258235830077,32.77013690496412,9.101207591397891
180000000.0,-10.72674011229135,4.370138012103679,30.791299281934812,6.701726860197327
210000000.0,-22.80086078740711,-11.670355632570082,17.70791934686281,-0.3600576289655445
240000000.0,-16.132374572540616,7.870444500756799,39.68444145339546,1.8870230081876158
260000000.0,-23.25513501314275,-14.804191531311252,28.767464051692553,-2.8901955599325486
280000000.0,14.558474506806554,7.515917500477376,34.84457024127449,7.06565607099154
300000000.0,1.0362478868026708,3.630736351240807,36.03524283952244,-0.027041095342432483
330000000.0,-10.03295006470344,-0.616771467144674,36.86102287249207,16.516157131703366
360000000.0,-3.488145439519651,3.4913071751997165,34.02808961654819,32.7000766994228
380000000.0,5.219893757160231,-8.385447793275402,33.64433696799888,1.7032379998023748
410000000.0,-4.278033775352558,-4.117984974783499,31.812347639560837,-2.038454231423265
440000000.0,-2.8512777048085574,1.3492775115863624,25.58650893358763,11.593615522986402
470000000.0,10.222433326460798,3.885270015243139,13.033378652517847,-11.390618892750382
500000000.0,21.56754248702972,26.26866857043062,18.23611439956709,24.396755224763073
520000000.0,19.311878750480737,22.305585933104584,28.116841943514306,15.07982211679505
550000000.0,25.57003563235485,23.39734834529683,11.247113232245754,11.688604263218807
580000000.0,26.46585436085529,24.92514744991062,4.031372356036748,-1.9031769325223489
610000000.0,29.317232733270547,29.90345473064911,-16.49095956459183,-11.255058816854195
640000000.0,17.749374377237565,36.02862148867578,-1.8303276968694415,-3.383018276649204
660000000.0,22.48374241147152,24.1605902726452,16.13571711642763,-3.3565039773786087
690000000.0,21.808735628098287,17.526040324873605,2.222389659308857,-13.4313594902393
720000000.0,20.475039622274366,15.932863474037742,4.592580399005548,-1.4383877642287992
750000000.0,-8.685466839738634,-5.506592978455911,18.204455463134394,15.202346595453964
780000000.0,-0.2826140150639481,13.465028235028358,25.182630776385956,-2.1443196165420706
800000000.0,-4.615199756065645,11.273997997749918,32.356299475312646,12.461254887824897
830000000.0,34.76397624515523,5.635957810734641,45.207677124950685,8.097194438759779
860000000.0,-12.549337587401666,4.041447046189018,47.370137787930055,4.874296217423172
890000000.0,-27.891890708760933,-16.783391388429397,37.07447508092231,4.082582590225835
920000000.0,-2.509526949436705,4.109945882457257,34.28858732244512,1.5003801104441814
950000000.0,-8.213598989178795,-1.5950702099993908,38.858650985314334,1.2966269327726476
970000000.0,-8.693145648609702,-6.135983451057044,14.00423247409378,-8.29077540274043
1000000000.0,2.0349903269745746,0.7931540144145395,37.52827198281851,5.750727076248948
20000000.0,-8.3756767676206,-8.613542842563236,13.20957883725967,4.6805775391404545
40000000.0,-6.358511124367292,-0.08330057986798796,32.128846841323046,10.39157740196437
60000000.0,10.126098480890422,8.1504602582163,31.379900114765373,6.1767736071963295
80000000.0,24.854168191381206,20.235806986178684,36.085307477288936,15.84568149241391
100000000.0,25.30148063766879,17.78202479250688,24.664278091084316,3.0955273305886677
130000000.0,8.084111809905082,21.17472799734959,20.449144318421595,10.95525127241409
150000000.0,0.7662304586288684,19.543643897845076,31.480084533685986,10.128567338054822
170000000.0,-7.615500987391826,8.77596983429387,26.530505483985806,8.638605219012168
190000000.0,-22.78186613147838,2.339668929097737,35.65184265270166,2.1142825879925797
220000000.0,-15.218841480625791,14.01974632066615,21.663436994823893,1.0880336683518794
250000000.0,-26.60419237307352,-8.781458784780492,33.36706428151312,13.730108033510202
280000000.0,2.076674111856058,1.881741221317749,37.65279193451898,10.14354334576768
310000000.0,2.616911827150667,3.1672449868603025,38.18361815639622,2.7226929243427906
330000000.0,-10.021100035269207,-0.661171072598346,34.92820713286878,16.947241759677507
360000000.0,-4.895887184993072,-0.5862414228301618,33.95650207485674,18.18537380201279
390000000.0,17.789277725125615,25.010535104809968,34.08451631932689,-1.4645813842884001
410000000.0,-4.6989267907575725,-2.2852043187314837,31.733742260577692,-2.0392326970303207
430000000.0,-2.85028825127807,1.389357342168835,31.085479132248643,6.185350032847912
460000000.0,10.59948673629384,6.4168339816356355,11.064813729232519,-11.618225531917581
480000000.0,35.655668099105576,26.296566039125885,13.302848216869428,-3.6372874178035044
500000000.0,13.101079323103693,14.336328913690332,21.246545129659616,18.949140311129405
520000000.0,16.02563860603179,22.3384564355911,22.049550690194643,21.34231124596876
550000000.0,25.573220526517467,23.396171680248404,13.14905334278234,21.089343153383176
570000000.0,42.10740493400047,24.746851346142552,0.12913199476306353,-8.152841173535693
590000000.0,19.292581412105047,28.427667184731177,4.216013086922898,16.05983979294377
620000000.0,45.9706540112483,36.82899349944407,-10.960814227034746,-12.732702825885658
640000000.0,15.054521590752685,31.234282558323763,-3.1640113943169696,-4.372380430551904
660000000.0,25.635316227243045,22.820485089987983,14.179703982072896,-0.09768024545334322
690000000.0,21.821333915867097,17.497111478102386,2.8680291030211436,-15.074471565561536
710000000.0,24.22071233596748,17.561092082146594,4.305889109653045,-5.6148469787578765
730000000.0,12.157399113957812,14.56216284937458,43.35064211033654,2.4515172355729273
760000000.0,5.402279788044458,16.03162385173325,21.47577511276177,10.500696803728594
780000000.0,-1.3898379042356601,11.932467766894677,25.142066173956596,-2.1587872544079127
800000000.0,-4.629696557189804,11.297952664508841,29.479067492476307,6.438976082504939
830000000.0,10.56063879888631,4.5885752458134785,44.4233096973969,8.034234389293196
850000000.0,-8.033925148015713,6.148146858135426,47.30258368484633,6.432029075403616
870000000.0,-21.457925798445988,-8.984111299311527,46.59158474083583,4.559168001898
900000000.0,4.405632011773469,11.21968942214365,34.101593957115014,18.274168808430737
920000000.0,-3.5648750655474872,2.8750710381656357,34.18393022515515,1.498695086071265
940000000.0,-8.209103264114194,-1.6775598876452578,40.59317178203389,0.8970233299456188
960000000.0,-8.78318662228112,-5.238913497761342,38.13478306166176,3.8351988109215043
990000000.0,5.375883467809857,-12.278844268260446,29.53253274072637,5.6611430012918635
